Client name;Material Description;Client Material No;AVO Material No;Quantity;Date from;Date until
VALEO Poland;BRUSH D7E ;187144;1026188;68550;30.05.2025;
VALEO Poland;BRUSH D7E ;187144;1026188;11;02.06.2025;
VALEO Poland;BRUSH D7E ;187144;1026188;68550;2025 w36;2025 w40
VALEO Poland;BRUSH D7E ;187144;1026188;68550;2025 w49;2026 w01
VALEO Poland;BRUSH D7E ;187144;1026188;68550;2026 w14;2026 w18
VALEO Poland;BRUSH D7E ;187144;1026188;68550;2026 w27;2026 w31
VALEO Poland;BALAI D8R ;190313;1023093;41250;30.05.2025;
VALEO Poland;BALAI D8R ;190313;1023093;41250;10.06.2025;
VALEO Poland;BALAI D8R ;190313;1023093;11;02.06.2025;
VALEO Poland;BALAI D8R ;190313;1023093;41250;2025 w27;2025 w27
VALEO Poland;BALAI D8R ;190313;1023093;41250;2025 w29;2025 w29
VALEO Poland;BALAI D8R ;190313;1023093;41250;2025 w32;2025 w35
VALEO Poland;BALAI D8R ;190313;1023093;41250;2025 w36;2025 w40
VALEO Poland;BALAI D8R ;190313;1023093;41250;2025 w40;2025 w44
VALEO Poland;BALAI D8R ;190313;1023093;41250;2025 w49;2026 w01
VALEO Poland;BALAI D8R ;190313;1023093;41250;2026 w01;2026 w05
VALEO Poland;BALAI D8R ;190313;1023093;41250;2026 w05;2026 w09
VALEO Poland;BALAI D8R ;190313;1023093;41250;2026 w14;2026 w18
VALEO Poland;BALAI D8R ;190313;1023093;41250;2026 w18;2026 w22
VALEO Poland;BALAI D8R ;190313;1023093;41250;2026 w27;2026 w31
VALEO Poland;BALAI D8R ;190313;1023093;41250;2026 w31;2026 w36
VALEO Poland;BALAI D8R ;190313;1023093;41250;2026 w36;2026 w40
VALEO Poland;BALAI D8R ;190313;1023093;41250;2026 w44;2026 w49
VALEO Poland;BALAI D8R ;190313;1023093;41250;2026 w49;2026 w53
VALEO Poland;BALAI D8R ;190313;1023093;41250;2027 w09;2027 w13
VALEO Poland;BALAI D8R ;190313;1023093;41250;2027 w17;2027 w22
VALEO Poland;BRUSH D7R ;191663;1023645;41250;30.05.2025;
VALEO Poland;BRUSH D7R ;191663;1023645;11;02.06.2025;
VALEO Poland;BRUSH D7R ;191663;1023645;41250;2025 w28;2025 w28
VALEO Poland;BRUSH D7R ;191663;1023645;41250;2025 w36;2025 w40
VALEO Poland;BRUSH D7R ;191663;1023645;41250;2025 w44;2025 w48
VALEO Poland;BRUSH D7R ;191663;1023645;41250;2026 w01;2026 w05
VALEO Poland;BRUSH D7R ;191663;1023645;41250;2026 w05;2026 w09
VALEO Poland;BRUSH D7R ;191663;1023645;41250;2026 w14;2026 w18
VALEO Poland;BRUSH D7R ;191663;1023645;41250;2026 w23;2026 w27
VALEO Poland;BRUSH D7R ;191663;1023645;41250;2026 w31;2026 w36
VALEO Poland;BRUSH D7R ;191663;1023645;41250;2026 w40;2026 w44
VALEO Poland;BRUSH D7R ;191663;1023645;41250;2026 w44;2026 w49
VALEO Poland;BRUSH D7R ;191663;1023645;41250;2026 w53;2027 w04
VALEO Poland;BRUSH D7R ;191663;1023645;41250;2027 w09;2027 w13
VALEO Poland;BRUSH CARBONE-LARRAINE D8R ;194470;1026258;10000;30.05.2025;
VALEO Poland;BRUSH CARBONE-LARRAINE D8R ;194470;1026258;10000;10.06.2025;
VALEO Poland;BRUSH CARBONE-LARRAINE D8R ;194470;1026258;10000;20.06.2025;
VALEO Poland;BRUSH CARBONE-LARRAINE D8R ;194470;1026258;11;02.06.2025;
VALEO Poland;BRUSH CARBONE-LARRAINE D8R ;194470;1026258;10000;2025 w27;2025 w27
VALEO Poland;BRUSH CARBONE-LARRAINE D8R ;194470;1026258;10000;2025 w29;2025 w29
VALEO Poland;BRUSH CARBONE-LARRAINE D8R ;194470;1026258;20000;2025 w32;2025 w35
VALEO Poland;BRUSH CARBONE-LARRAINE D8R ;194470;1026258;20000;2025 w36;2025 w40
VALEO Poland;BRUSH CARBONE-LARRAINE D8R ;194470;1026258;10000;2025 w44;2025 w48
VALEO Poland;BRUSH CARBONE-LARRAINE D8R ;194470;1026258;10000;2026 w05;2026 w09
VALEO Poland;BRUSH CARBONE-LARRAINE D8R ;194470;1026258;10000;2026 w23;2026 w27
VALEO Poland;BRUSH CARBONE-LARRAINE D8R ;194470;1026258;10000;2026 w36;2026 w40
VALEO Poland;BRUSH ESW10E40 ;UNKNOWN;UNKNOWN;0;11.06.2025;
VALEO Poland;BRUSH ESW10E40 ;UNKNOWN;UNKNOWN;11;02.06.2025;
VALEO Poland;BRUSH ESW10E40 ;UNKNOWN;UNKNOWN;2000;2025 w27;2025 w27
VALEO Poland;BRUSH ESW10E40 ;UNKNOWN;UNKNOWN;2000;2025 w31;2025 w31
VALEO Poland;BRUSH ESW10E40 ;UNKNOWN;UNKNOWN;2000;2025 w36;2025 w40
VALEO Poland;BRUSH ESW10E40 ;UNKNOWN;UNKNOWN;2000;2025 w40;2025 w44
VALEO Poland;BRUSH ESW10E40 ;UNKNOWN;UNKNOWN;4000;2025 w44;2025 w48
VALEO Poland;BRUSH ESW10E40 ;UNKNOWN;UNKNOWN;2000;2025 w49;2026 w01
VALEO Poland;BRUSH ESW10E40 ;UNKNOWN;UNKNOWN;2000;2026 w05;2026 w09
VALEO Poland;BRUSH ESW10E40 ;UNKNOWN;UNKNOWN;2000;2026 w14;2026 w18
VALEO Poland;BRUSH ESW10E40 ;UNKNOWN;UNKNOWN;2000;2026 w23;2026 w27
VALEO Poland;BRUSH ESW10E40 ;UNKNOWN;UNKNOWN;2000;2026 w36;2026 w40
VALEO Poland;BRUSH ESW10 (AVO) ;UNKNOWN;UNKNOWN;8000;04.06.2025;
VALEO Poland;BRUSH ESW10 (AVO) ;UNKNOWN;UNKNOWN;2000;2025 w26;2025 w26
VALEO Poland;BRUSH ESW10 (AVO) ;UNKNOWN;UNKNOWN;2000;2025 w32;2025 w35
VALEO Poland;BRUSH ESW10 (AVO) ;UNKNOWN;UNKNOWN;2000;2025 w36;2025 w40
VALEO Poland;BRUSH ESW10 (AVO) ;UNKNOWN;UNKNOWN;2000;2025 w40;2025 w44
VALEO Poland;BRUSH ESW10 (AVO) ;UNKNOWN;UNKNOWN;2000;2025 w44;2025 w48
VALEO Poland;BRUSH ESW10 (AVO) ;UNKNOWN;UNKNOWN;2000;2025 w49;2026 w01
VALEO Poland;BRUSH ESW10 (AVO) ;UNKNOWN;UNKNOWN;2000;2026 w01;2026 w05
VALEO Poland;BRUSH ESW10 (AVO) ;UNKNOWN;UNKNOWN;2000;2026 w05;2026 w09
VALEO Poland;BRUSH ESW10 (AVO) ;UNKNOWN;UNKNOWN;2000;2026 w09;2026 w14
VALEO Poland;BRUSH ESW10 (AVO) ;UNKNOWN;UNKNOWN;2000;2026 w14;2026 w18
VALEO Poland;BRUSH ESW10 (AVO) ;UNKNOWN;UNKNOWN;2000;2026 w18;2026 w22
VALEO Poland;BRUSH ESW10 (AVO) ;UNKNOWN;UNKNOWN;4000;2026 w27;2026 w31
VALEO Poland;BRUSH ESW10 (AVO) ;UNKNOWN;UNKNOWN;2000;2026 w31;2026 w36
VALEO Poland;BRUSH ESW10 (AVO) ;UNKNOWN;UNKNOWN;2000;2026 w40;2026 w44
