ClientCode,ProductCode,Date,Quantity
C00018,VW000015857,2025_18,441
C00018,VW000037397,2025_18,36993
C00018,VW000051918,2025_18,4274
C00018,V53342636,2025_18,1764
C00018,V53512445,2025_18,1800
C00018,VW000054852,2025_18,43200
C00018,VW000007073,2025_18,6174
C00018,VW000065335,2025_18,849
C00018,VW151616,2025_18,24000
C00018,V53342836,2025_18,2205
C00018,V53343106,2025_18,9261
C00018,VW000035924,2025_18,18088
C00018,VW000027021,2025_18,1323
C00018,VW000038990,2025_18,4800
C00018,VW000067337,2025_18,32
C00018,VW000097898,2025_18,19200
C00018,V53512535,2025_18,400
C00018,VW000027021,2025_19,441
C00018,VW000037335,2025_19,48
C00018,VW000035924,2025_19,10198
C00018,V53343106,2025_19,5733
C00018,V53342836,2025_19,882
C00018,VW000038990,2025_19,3200
C00018,VW000097898,2025_19,13424
C00018,VW000051918,2025_19,1243
C00018,VW000095903,2025_19,2376
C00018,VW000037397,2025_19,13070
C00018,VW151616,2025_19,12800
C00018,VW000007073,2025_19,3969
C00018,VW000065335,2025_19,480
C00018,VW000054852,2025_19,22400
C00018,V53342636,2025_20,2205
C00018,VW000037397,2025_20,14755
C00018,VW000095903,2025_20,4752
C00018,VW000051918,2025_20,2809
C00018,VW000054852,2025_20,30400
C00018,VW000007073,2025_20,3969
C00018,V53512215,2025_20,84
C00018,VW000065335,2025_20,760
C00018,VW151616,2025_20,17600
C00018,VW000092467,2025_20,992
C00018,V53342836,2025_20,1323
C00018,V53343106,2025_20,7497
C00018,V53342676,2025_20,441
C00018,V53342296,2025_20,934
C00018,VW000037395,2025_20,2400
C00018,VW000035924,2025_20,14096
C00018,VW000027021,2025_20,441
C00018,VW000037335,2025_20,409
C00018,VW000038990,2025_20,4800
C00018,VW000097898,2025_20,15020
C00018,VW000035923,2025_20,379
C00018,V53342636,2025_21,1764
C00018,VW000051918,2025_21,2458
C00018,VW000095903,2025_21,9504
C00018,VW000037397,2025_21,12697
C00018,VW000092467,2025_21,3534
C00018,VW151616,2025_21,19200
C00018,VW000065335,2025_21,736
C00018,V53512215,2025_21,364
C00018,VW000054852,2025_21,28800
C00018,VW000007073,2025_21,2205
C00018,VW000037335,2025_21,410
C00018,VW000035924,2025_21,13904
C00018,V53342296,2025_21,1100
C00018,VW000037395,2025_21,2400
C00018,V53343106,2025_21,6615
C00018,V53342836,2025_21,882
C00018,VW000027021,2025_21,441
C00018,VW000038990,2025_21,4000
C00018,VW000035923,2025_21,389
C00018,VW000097898,2025_21,17446
C00018,V53343106,2025_22,5292
C00018,V53342836,2025_22,441
C00018,VW000035924,2025_22,11046
C00018,V53342296,2025_22,800
C00018,VW000037335,2025_22,102
C00018,VW000038990,2025_22,4000
C00018,VW000097898,2025_22,12030
C00018,VW000035923,2025_22,220
C00018,V53342636,2025_22,882
C00018,VW000037397,2025_22,10787
C00018,VW000095903,2025_22,2376
C00018,VW000058808,2025_22,233
C00018,VW000051918,2025_22,1959
C00018,VW000054852,2025_22,22400
C00018,VW000007073,2025_22,882
C00018,V53512215,2025_22,256
C00018,VW000065335,2025_22,544
C00018,VW000092467,2025_22,2953
C00018,VW151616,2025_22,12800
C00018,V53342636,2025_23,882
C00018,VW000095903,2025_23,7128
C00018,VW000051918,2025_23,1453
C00018,VW000058808,2025_23,515
C00018,VW000037397,2025_23,2061
C00018,VW000007073,2025_23,2646
C00018,VW000068615,2025_23,457
C00018,VW000054852,2025_23,21600
C00018,V53512215,2025_23,160
C00018,VW000092467,2025_23,3636
C00018,VW151616,2025_23,19200
C00018,VW000065335,2025_23,560
C00018,VW000035924,2025_23,11114
C00018,VW000037335,2025_23,123
C00018,VW000027021,2025_23,441
C00018,V53343106,2025_23,5292
C00018,V53342296,2025_23,720
C00018,V53342836,2025_23,882
C00018,VW000038990,2025_23,3200
C00018,VW000035923,2025_23,131
C00018,VW000097898,2025_23,16655
C00018,VW000054852,2025_24,24000
C00018,VW000007073,2025_24,3528
C00018,V53512215,2025_24,200
C00018,VW000065335,2025_24,600
C00018,VW151616,2025_24,12800
C00018,VW000092467,2025_24,2772
C00018,VW000037397,2025_24,2638
C00018,V53342696,2025_24,441
C00018,VW000095903,2025_24,7128
C00018,VW000058808,2025_24,383
C00018,VW000051918,2025_24,2400
C00018,V53342636,2025_24,1764
C00018,V53342836,2025_24,882
C00018,VW000037395,2025_24,1600
C00018,V53343106,2025_24,6174
C00018,VW000037335,2025_24,181
C00018,VW000035924,2025_24,12366
C00018,V53342296,2025_24,800
C00018,VW000038990,2025_24,4800
C00018,VW000035923,2025_24,111
C00018,VW000097898,2025_24,11878
C00018,VW151616,2025_25,17600
C00018,VW000092467,2025_25,3653
C00018,VW000065335,2025_25,600
C00018,V53512215,2025_25,200
C00018,VW000054852,2025_25,22400
C00018,VW000007073,2025_25,2646
C00018,VW000095903,2025_25,7128
C00018,V53342636,2025_25,1764
C00018,VW000051918,2025_25,3182
C00018,VW000058808,2025_25,521
C00018,VW000037397,2025_25,2709
C00018,VW000097898,2025_25,15001
C00018,VW000035923,2025_25,219
C00018,VW000027021,2025_25,441
C00018,VW000038990,2025_25,4800
C00018,VW000035924,2025_25,12759
C00018,V53342296,2025_25,800
C00018,VW000037335,2025_25,103
C00018,VW000026780,2025_25,1095
C00018,V53342836,2025_25,1323
C00018,V53343106,2025_25,6174
C00018,VW000037395,2025_25,2400
C00018,V53342676,2025_25,441
C00018,VW000037335,2025_26,256
C00018,VW000038990,2025_26,4800
C00018,V53342836,2025_26,882
C00018,V53343106,2025_26,6174
C00018,VW000026780,2025_26,311
C00018,VW000027021,2025_26,441
C00018,VW000035924,2025_26,13866
C00018,V53342296,2025_26,800
C00018,VW000097898,2025_26,14490
C00018,VW000035923,2025_26,204
C00018,V53342636,2025_26,2205
C00018,VW000095903,2025_26,9504
C00018,VW000037397,2025_26,2692
C00018,VW000051918,2025_26,3055
C00018,VW000058808,2025_26,551
C00018,VW000092467,2025_26,3671
C00018,VW151616,2025_26,19200
C00018,VW000054852,2025_26,24000
C00018,V53512215,2025_26,200
C00018,VW000065335,2025_26,600
C00018,VW000095903,2025_27,9504
C00018,V53342636,2025_27,882
C00018,VW000058808,2025_27,639
C00018,VW000051918,2025_27,3479
C00018,VW000037397,2025_27,2457
C00018,VW000092467,2025_27,4006
C00018,VW151616,2025_27,17600
C00018,VW000065335,2025_27,660
C00018,V53512215,2025_27,320
C00018,VW000054852,2025_27,26400
C00018,VW000097898,2025_27,14776
C00018,VW000035923,2025_27,292
C00018,VW000027021,2025_27,441
C00018,VW000038990,2025_27,4000
C00018,VW000035924,2025_27,15208
C00018,VW000026780,2025_27,447
C00018,VW000037335,2025_27,281
C00018,V53343106,2025_27,7938
C00018,V53342296,2025_27,980
C00018,V53342836,2025_27,441
C00018,V53342636,2025_28,882
C00018,VW000051918,2025_28,1978
C00018,VW000037397,2025_28,1208
