ClientCode,ProductCode,Date,Quantity,ExpectedDeliveryDate
C00125,VW000023134,2025_19,175,2025-04-21
C00125,V471.553D,2025_19,5600,2025-04-28
C00132,VW000020607,2025_19,800,2025-03-06
C00241,V420194GAD,2025_19,1792,2024-02-08
C00241,V420194GAD,2025_19,256,2025-04-09
C00250,VW256713POL,2025_19,2674,2025-05-02
C00250,VW347551POL,2025_19,2312,2025-05-02
C00250,VW241391POL,2025_19,2400,2025-05-02
C00250,VW447832POL,2025_19,736,2025-05-02
C00250,VW262948POL,2025_19,560,2025-05-02
C00250,VW000026780POL,2025_19,168,2025-05-09
C00250,VW000037397POL,2025_19,51200,2025-05-09
C00250,VW000079619POL,2025_19,800,2025-05-09
C00250,VW000040372POL,2025_19,1960,2025-05-09
C00250,VW000079423POL,2025_19,5600,2025-05-09
C00250,VW000097898POL,2025_19,6256,2025-05-09
C00250,VW000051919POL,2025_19,7280,2025-05-09
C00250,VW262948POL,2025_19,1120,2025-05-09
C00250,VW000074561POL,2025_19,840,2025-05-09
C00250,VW447832POL,2025_19,2576,2025-05-09
C00250,VW347551POL,2025_19,2800,2025-05-09
C00250,VW000038990POL,2025_19,8000,2025-05-09
C00250,VW241391POL,2025_19,4800,2025-05-09
C00250,VW000072687POL,2025_19,3360,2025-05-09
C00250,VW284514POL,2025_19,560,2025-05-09
C00250,VW256713POL,2025_19,4500,2025-05-09
C00250,VW000022745POL,2025_19,840,2025-05-09
C00250,VW000092467POL,2025_19,4624,2025-05-09
C00250,VW000068615POL,2025_19,7056,2025-05-09
C00303,VW000052297SLP,2025_19,1680,2025-05-05
C00303,VW000092467SLP,2025_19,27520,2025-05-05
C00303,VW000040372SLP,2025_19,4536,2025-05-05
C00303,VW000079423SLP,2025_19,5400,2025-05-05
C00303,VW000095163SLP,2025_19,800,2025-05-05
C00303,VW347551SLP,2025_19,5920,2025-05-05
C00303,VW000037397SLP,2025_19,8000,2025-05-05
C00303,VW000026780SLP,2025_19,1176,2025-05-05
C00303,VW447832SLP,2025_19,3360,2025-05-05
C00410,V420290,2025_19,4864,2025-05-09
C00410,V420284,2025_19,21600,2025-05-09
C00018,V53343106,2025_20,8820,2025-05-12
C00018,VW000037335,2025_20,379,2025-05-12
C00018,V53342836,2025_20,2205,2025-05-12
C00018,VW000035924,2025_20,14163,2025-05-12
C00018,VW000037395,2025_20,5600,2025-05-12
C00018,VW000027021,2025_20,882,2025-05-12
C00018,VW000038990,2025_20,6400,2025-05-12
C00018,V53512535,2025_20,400,2025-05-12
C00018,VW000097898,2025_20,31262,2025-05-12
C00018,VW000067337,2025_20,32,2025-05-12
C00018,VW000095903,2025_20,7128,2025-05-12
C00018,VW000015857,2025_20,441,2025-05-12
C00018,VW000037397,2025_20,14259,2025-05-12
C00018,V53342636,2025_20,2205,2025-05-12
C00018,VW000051918,2025_20,4609,2025-05-12
C00018,VW000054852,2025_20,34400,2025-05-12
C00018,V53512215,2025_20,149,2025-05-12
C00018,VW000007073,2025_20,11466,2025-05-12
C00018,V53512445,2025_20,1800,2025-05-12
C00018,VW000065335,2025_20,868,2025-05-12
C00018,VW151616,2025_20,27200,2025-05-12
